SensorID,DeviceID,SensorType,Unit,CalibrationDate,Weather
1,166,SoilMoisture,°C,2022-12-29,Windy
2,367,CropHealth,pH,2021-06-08,Cloudy
3,75,Temperature,%,2021-04-05,Cloudy
4,67,Temperature,°C,2022-12-25,Sunny
5,79,Temperature,%,2021-04-06,Sunny
6,452,CropHealth,pH,2022-07-26,Snowy
7,24,Temperature,°C,2020-01-14,Sunny
8,22,CropHealth,%,2022-11-17,Windy
9,469,Humidity,%,2021-02-02,Windy
10,466,SoilMoisture,pH,2021-02-21,Cloudy
11,317,SoilMoisture,pH,2021-08-01,Windy
12,72,Temperature,pH,2020-02-02,Rainy
13,452,Humidity,°C,2022-03-28,Rainy
14,234,Temperature,°C,2020-01-07,Cloudy
15,213,SoilMoisture,%,2020-12-31,Rainy
16,285,Temperature,pH,2022-05-20,Cloudy
17,257,Temperature,pH,2021-02-20,Snowy
18,262,Temperature,pH,2021-01-24,Windy
19,349,SoilMoisture,%,2022-07-12,Windy
20,480,Temperature,°C,2022-11-16,Windy
21,30,CropHealth,°C,2022-02-19,Snowy
22,235,Temperature,%,2020-02-22,Sunny
23,446,Humidity,°C,2022-02-10,Rainy
24,225,Humidity,°C,2022-10-24,Rainy
25,457,SoilMoisture,pH,2022-10-01,Windy
26,263,Temperature,°C,2022-06-30,Windy
27,82,Temperature,%,2021-07-09,Windy
28,3,SoilMoisture,%,2022-08-28,Sunny
29,55,SoilMoisture,%,2021-10-07,Sunny
30,396,CropHealth,°C,2022-09-30,Sunny
31,369,CropHealth,°C,2022-03-30,Sunny
32,74,SoilMoisture,%,2021-10-17,Sunny
33,50,CropHealth,°C,2020-12-12,Snowy
34,486,Humidity,%,2022-08-03,Cloudy
35,434,Humidity,°C,2021-02-17,Rainy
36,236,CropHealth,pH,2021-07-10,Snowy
37,6,Humidity,°C,2022-10-14,Snowy
38,228,Humidity,pH,2022-07-25,Snowy
39,461,CropHealth,%,2020-05-02,Snowy
40,342,SoilMoisture,%,2020-03-16,Windy
41,231,Humidity,°C,2021-03-06,Rainy
42,247,Temperature,%,2022-11-17,Windy
43,33,Temperature,pH,2021-02-22,Windy
44,377,CropHealth,%,2021-02-23,Cloudy
45,371,CropHealth,°C,2022-02-07,Cloudy
46,195,Temperature,pH,2022-06-25,Rainy
47,124,CropHealth,°C,2020-05-30,Rainy
48,319,Humidity,°C,2020-02-01,Sunny
49,47,Humidity,%,2022-04-01,Rainy
50,177,SoilMoisture,°C,2021-09-08,Cloudy
51,392,CropHealth,pH,2020-04-27,Sunny
52,459,Temperature,°C,2022-06-09,Windy
53,123,SoilMoisture,%,2020-02-15,Windy
54,408,SoilMoisture,pH,2020-07-25,Rainy
55,246,SoilMoisture,%,2020-09-27,Windy
56,110,Temperature,%,2022-08-04,Sunny
57,35,SoilMoisture,%,2021-03-15,Rainy
58,403,CropHealth,%,2022-03-11,Cloudy
59,92,SoilMoisture,pH,2020-05-18,Cloudy
60,237,CropHealth,°C,2020-12-17,Cloudy
61,305,CropHealth,pH,2021-10-15,Snowy
62,265,CropHealth,°C,2022-11-10,Sunny
63,145,SoilMoisture,pH,2021-10-02,Cloudy
64,28,SoilMoisture,°C,2022-07-25,Cloudy
65,304,Temperature,pH,2021-04-26,Rainy
66,77,SoilMoisture,°C,2022-02-06,Windy
67,200,CropHealth,%,2020-12-16,Snowy
68,52,Temperature,°C,2021-05-09,Sunny
69,472,Humidity,pH,2020-08-23,Snowy
70,493,Humidity,pH,2021-09-11,Snowy
71,254,Humidity,°C,2020-03-27,Sunny
72,427,CropHealth,pH,2020-09-10,Windy
73,82,Humidity,°C,2021-07-19,Cloudy
74,134,SoilMoisture,pH,2021-10-12,Sunny
75,89,Temperature,°C,2021-07-11,Sunny
76,282,SoilMoisture,pH,2020-01-21,Cloudy
77,254,CropHealth,%,2022-12-13,Cloudy
78,379,CropHealth,pH,2022-10-26,Cloudy
79,132,CropHealth,pH,2022-11-15,Sunny
80,421,Humidity,%,2021-12-14,Cloudy
81,378,CropHealth,°C,2021-11-04,Windy
82,150,Temperature,pH,2020-10-03,Cloudy
83,231,Temperature,%,2021-12-11,Snowy
84,21,SoilMoisture,pH,2022-03-03,Snowy
85,451,Temperature,°C,2021-02-12,Sunny
86,58,Humidity,pH,2022-01-18,Windy
87,274,Humidity,°C,2022-10-11,Cloudy
88,490,Temperature,pH,2021-07-29,Snowy
89,282,CropHealth,°C,2021-11-15,Windy
90,10,Humidity,pH,2020-09-22,Snowy
91,224,CropHealth,°C,2020-04-03,Windy
92,255,SoilMoisture,°C,2021-11-02,Snowy
93,14,Humidity,pH,2020-08-23,Snowy
94,106,Humidity,°C,2020-05-20,Cloudy
95,316,Humidity,pH,2021-04-04,Snowy
96,74,Temperature,%,2021-06-22,Sunny
97,15,Humidity,%,2020-06-17,Cloudy
98,274,SoilMoisture,%,2021-04-23,Cloudy
99,488,CropHealth,pH,2022-12-19,Windy
100,396,Humidity,%,2020-07-16,Windy
101,328,CropHealth,°C,2022-08-17,Cloudy
102,303,Humidity,°C,2020-08-05,Rainy
103,31,Humidity,%,2022-03-19,Cloudy
104,426,SoilMoisture,pH,2021-07-20,Rainy
105,162,CropHealth,pH,2022-01-13,Sunny
106,136,CropHealth,pH,2022-07-10,Cloudy
107,383,Humidity,°C,2021-08-28,Sunny
108,450,Humidity,%,2022-06-11,Snowy
109,331,SoilMoisture,pH,2020-01-18,Snowy
110,370,SoilMoisture,°C,2022-06-05,Rainy
111,429,CropHealth,°C,2022-08-30,Snowy
112,481,CropHealth,°C,2021-10-15,Cloudy
113,446,CropHealth,°C,2022-09-13,Cloudy
114,138,CropHealth,°C,2020-03-20,Cloudy
115,264,CropHealth,°C,2021-03-14,Sunny
116,73,CropHealth,%,2022-11-12,Cloudy
117,235,Temperature,%,2022-05-11,Windy
118,9,Temperature,%,2021-03-17,Sunny
119,464,Temperature,pH,2021-02-09,Windy
120,118,SoilMoisture,%,2022-05-30,Snowy
121,155,Temperature,%,2020-07-08,Snowy
122,95,SoilMoisture,°C,2021-11-21,Sunny
123,9,SoilMoisture,%,2020-06-11,Windy
124,11,Temperature,%,2022-03-08,Windy
125,411,Humidity,pH,2021-05-05,Sunny
126,218,Temperature,%,2022-12-11,Snowy
127,337,Temperature,°C,2020-10-22,Windy
128,277,SoilMoisture,°C,2020-02-27,Windy
129,249,CropHealth,%,2021-03-20,Sunny
130,59,Humidity,°C,2022-07-24,Snowy
131,452,SoilMoisture,%,2021-10-31,Sunny
132,31,SoilMoisture,%,2020-10-01,Sunny
133,54,CropHealth,°C,2022-07-18,Snowy
134,425,SoilMoisture,%,2020-05-02,Sunny
135,410,SoilMoisture,%,2020-04-06,Rainy
136,361,CropHealth,°C,2022-02-20,Rainy
137,217,Temperature,%,2021-10-05,Cloudy
138,423,Humidity,°C,2020-04-20,Sunny
139,19,SoilMoisture,%,2020-11-11,Sunny
140,43,CropHealth,°C,2020-04-09,Cloudy
141,497,CropHealth,°C,2021-11-08,Sunny
142,431,Humidity,%,2021-01-15,Snowy
143,120,Humidity,pH,2021-05-27,Sunny
144,96,Humidity,°C,2021-07-08,Cloudy
145,119,Humidity,%,2020-01-17,Cloudy
146,20,Temperature,pH,2021-05-09,Cloudy
147,297,SoilMoisture,pH,2020-05-17,Windy
148,234,Humidity,pH,2021-05-27,Windy
149,479,CropHealth,pH,2021-09-04,Sunny
150,414,Temperature,pH,2020-07-05,Windy
151,362,CropHealth,°C,2021-10-18,Rainy
152,99,Humidity,pH,2022-07-26,Sunny
153,174,CropHealth,°C,2020-07-10,Sunny
154,348,SoilMoisture,°C,2022-02-19,Rainy
155,53,Humidity,pH,2022-01-12,Rainy
156,186,SoilMoisture,pH,2021-11-08,Cloudy
157,45,SoilMoisture,°C,2020-02-26,Cloudy
158,426,Humidity,°C,2022-10-09,Snowy
159,315,Humidity,°C,2020-09-02,Cloudy
160,229,Temperature,pH,2021-08-24,Sunny
161,406,Temperature,pH,2020-06-24,Snowy
162,107,Humidity,°C,2021-09-18,Sunny
163,497,Temperature,°C,2021-08-15,Cloudy
164,91,SoilMoisture,%,2021-03-18,Cloudy
165,177,SoilMoisture,°C,2020-05-17,Windy
166,464,Humidity,%,2020-11-07,Cloudy
167,61,SoilMoisture,°C,2022-03-06,Snowy
168,488,CropHealth,°C,2020-04-09,Sunny
169,132,Temperature,pH,2021-01-04,Sunny
170,34,SoilMoisture,pH,2020-03-22,Snowy
171,132,CropHealth,%,2022-09-06,Cloudy
172,324,SoilMoisture,°C,2022-06-05,Windy
173,384,Humidity,pH,2022-08-14,Sunny
174,170,SoilMoisture,%,2020-06-26,Windy
175,335,Humidity,pH,2021-12-30,Rainy
176,344,Humidity,%,2020-11-12,Rainy
177,361,Humidity,°C,2020-08-29,Cloudy
178,378,Humidity,pH,2021-03-19,Sunny
179,434,SoilMoisture,°C,2021-03-30,Snowy
180,222,SoilMoisture,°C,2022-11-09,Rainy
181,346,CropHealth,%,2021-07-29,Sunny
182,55,CropHealth,%,2022-02-16,Rainy
183,10,SoilMoisture,pH,2021-10-06,Snowy
184,332,CropHealth,%,2022-02-09,Snowy
185,325,CropHealth,°C,2021-12-08,Rainy
186,388,Temperature,pH,2022-11-07,Rainy
187,257,Humidity,pH,2020-03-25,Sunny
188,443,SoilMoisture,%,2022-11-10,Sunny
189,432,SoilMoisture,°C,2021-06-01,Cloudy
190,83,Temperature,%,2020-05-26,Snowy
191,483,Temperature,pH,2022-08-16,Cloudy
192,91,CropHealth,pH,2022-03-21,Cloudy
193,445,SoilMoisture,%,2022-05-29,Cloudy
194,49,Temperature,°C,2021-02-05,Cloudy
195,78,Temperature,°C,2020-01-31,Rainy
196,305,SoilMoisture,%,2021-06-02,Snowy
197,385,Temperature,%,2021-11-28,Snowy
198,6,Humidity,°C,2021-07-23,Snowy
199,153,Humidity,%,2021-07-23,Windy
200,143,Humidity,°C,2021-03-03,Snowy
201,62,SoilMoisture,pH,2021-05-07,Windy
202,222,Humidity,pH,2022-10-23,Sunny
203,305,CropHealth,°C,2022-10-17,Rainy
204,383,Temperature,°C,2022-05-31,Windy
205,401,CropHealth,pH,2020-06-01,Rainy
206,184,CropHealth,°C,2022-10-15,Cloudy
207,211,CropHealth,°C,2021-04-23,Sunny
208,115,CropHealth,%,2022-08-19,Cloudy
209,458,Temperature,%,2020-08-03,Sunny
210,175,SoilMoisture,%,2020-01-02,Windy
211,12,Humidity,pH,2022-04-18,Cloudy
212,303,Humidity,°C,2022-06-02,Sunny
213,50,Humidity,%,2021-01-16,Rainy
214,131,SoilMoisture,pH,2021-07-19,Sunny
215,131,SoilMoisture,pH,2021-05-26,Rainy
216,350,Temperature,°C,2020-06-03,Windy
217,451,Temperature,pH,2020-08-23,Windy
218,73,Temperature,%,2022-11-02,Windy
219,427,CropHealth,%,2020-09-15,Snowy
220,57,Temperature,°C,2021-03-23,Cloudy
221,452,Temperature,pH,2020-03-14,Cloudy
222,480,SoilMoisture,%,2020-04-26,Windy
223,387,SoilMoisture,%,2022-11-07,Sunny
224,137,Humidity,%,2022-01-31,Rainy
225,260,Temperature,°C,2022-11-01,Snowy
226,494,Humidity,%,2022-03-23,Rainy
227,248,CropHealth,%,2021-01-20,Sunny
228,457,SoilMoisture,pH,2021-02-18,Windy
229,69,Temperature,°C,2022-12-22,Windy
230,484,Humidity,pH,2020-09-13,Rainy
231,441,CropHealth,%,2020-10-14,Snowy
232,469,Humidity,°C,2021-06-21,Windy
233,446,CropHealth,°C,2020-02-23,Windy
234,333,Humidity,pH,2020-12-13,Sunny
235,279,SoilMoisture,%,2021-03-28,Rainy
236,323,Temperature,°C,2020-02-21,Snowy
237,273,SoilMoisture,°C,2021-12-25,Snowy
238,337,Temperature,°C,2021-02-28,Windy
239,392,Temperature,°C,2020-08-17,Windy
240,347,Humidity,pH,2022-08-17,Rainy
241,335,SoilMoisture,%,2021-06-03,Cloudy
242,5,SoilMoisture,°C,2020-11-12,Windy
243,341,Humidity,pH,2021-01-05,Cloudy
244,210,SoilMoisture,%,2022-05-31,Snowy
245,373,Humidity,pH,2021-03-22,Cloudy
246,293,CropHealth,%,2021-10-25,Rainy
247,258,Temperature,°C,2021-09-05,Cloudy
248,339,Humidity,%,2022-03-25,Snowy
249,173,SoilMoisture,%,2021-02-10,Cloudy
250,470,Humidity,pH,2021-07-05,Windy
251,102,SoilMoisture,%,2020-12-19,Cloudy
252,158,CropHealth,pH,2021-04-14,Windy
253,473,Temperature,%,2020-04-18,Snowy
254,243,Humidity,%,2022-10-31,Sunny
255,18,SoilMoisture,°C,2021-03-15,Sunny
256,434,Temperature,%,2022-10-23,Rainy
257,221,Temperature,%,2021-02-07,Cloudy
258,10,SoilMoisture,°C,2020-11-29,Windy
259,49,Temperature,°C,2020-09-29,Windy
260,289,Temperature,°C,2022-01-19,Snowy
261,206,CropHealth,°C,2020-12-05,Snowy
262,76,CropHealth,pH,2021-01-28,Cloudy
263,33,CropHealth,%,2021-03-13,Rainy
264,258,SoilMoisture,pH,2020-09-14,Snowy
265,114,SoilMoisture,°C,2021-03-31,Windy
266,34,SoilMoisture,%,2021-04-08,Cloudy
267,62,Temperature,%,2020-11-21,Snowy
268,273,CropHealth,%,2022-07-26,Rainy
269,382,CropHealth,°C,2021-02-15,Snowy
270,482,Humidity,pH,2021-08-05,Windy
271,295,Humidity,%,2021-10-02,Cloudy
272,390,SoilMoisture,pH,2021-03-21,Snowy
273,458,Temperature,%,2021-10-14,Rainy
274,439,Temperature,%,2021-07-28,Cloudy
275,282,SoilMoisture,pH,2022-07-07,Rainy
276,158,Temperature,%,2021-11-18,Cloudy
277,20,SoilMoisture,°C,2020-08-06,Snowy
278,288,Temperature,°C,2020-07-31,Windy
279,255,Humidity,%,2022-12-23,Snowy
280,133,Temperature,pH,2021-09-23,Rainy
281,40,Humidity,°C,2021-02-18,Cloudy
282,281,CropHealth,°C,2020-01-20,Cloudy
283,155,CropHealth,°C,2022-05-08,Snowy
284,76,Humidity,°C,2020-08-07,Cloudy
285,231,SoilMoisture,%,2022-12-11,Cloudy
286,345,Temperature,°C,2022-05-23,Rainy
287,145,Humidity,%,2020-12-14,Snowy
288,443,SoilMoisture,°C,2021-07-04,Sunny
289,125,SoilMoisture,pH,2021-01-04,Windy
290,409,CropHealth,°C,2020-10-01,Snowy
291,146,CropHealth,%,2022-01-15,Snowy
292,383,CropHealth,%,2020-07-17,Windy
293,379,Humidity,°C,2021-05-15,Cloudy
294,317,Temperature,°C,2020-08-05,Rainy
295,426,Temperature,°C,2020-12-27,Snowy
296,451,Temperature,°C,2020-03-02,Sunny
297,220,Temperature,°C,2022-05-09,Snowy
298,116,SoilMoisture,°C,2022-12-23,Snowy
299,493,SoilMoisture,pH,2021-10-19,Cloudy
300,422,SoilMoisture,%,2022-04-22,Snowy
301,182,CropHealth,°C,2022-02-17,Windy
302,117,SoilMoisture,°C,2022-12-29,Snowy
303,467,Temperature,%,2022-01-10,Snowy
304,40,SoilMoisture,°C,2021-10-15,Rainy
305,446,Temperature,pH,2021-09-27,Snowy
306,459,SoilMoisture,°C,2022-01-01,Cloudy
307,406,SoilMoisture,pH,2022-12-24,Rainy
308,288,CropHealth,°C,2022-11-29,Windy
309,462,Temperature,°C,2021-11-09,Cloudy
310,258,Temperature,°C,2021-10-19,Rainy
311,67,SoilMoisture,%,2020-06-06,Snowy
312,464,CropHealth,pH,2021-06-08,Sunny
313,192,CropHealth,°C,2022-04-23,Windy
314,271,Humidity,°C,2021-12-26,Rainy
315,4,CropHealth,pH,2020-05-28,Rainy
316,48,Humidity,pH,2022-01-19,Cloudy
317,239,CropHealth,%,2022-11-15,Rainy
318,270,SoilMoisture,pH,2021-08-10,Snowy
319,123,CropHealth,°C,2022-11-06,Sunny
320,349,CropHealth,pH,2020-02-02,Rainy
321,453,CropHealth,pH,2021-11-09,Sunny
322,312,SoilMoisture,%,2022-08-12,Snowy
323,49,Temperature,%,2021-01-23,Rainy
324,70,SoilMoisture,°C,2021-01-25,Cloudy
325,267,SoilMoisture,%,2021-09-21,Rainy
326,345,Temperature,%,2022-11-16,Snowy
327,168,CropHealth,pH,2020-01-17,Rainy
328,33,Temperature,%,2021-02-18,Windy
329,80,Temperature,%,2021-03-09,Windy
330,123,Humidity,pH,2022-02-04,Sunny
331,360,CropHealth,pH,2022-07-10,Windy
332,373,SoilMoisture,%,2021-12-03,Windy
333,487,CropHealth,%,2021-08-29,Cloudy
334,109,Temperature,°C,2021-04-24,Cloudy
335,160,SoilMoisture,%,2022-01-03,Cloudy
336,111,Temperature,°C,2020-08-24,Windy
337,435,SoilMoisture,°C,2022-03-07,Cloudy
338,231,Humidity,pH,2022-08-27,Rainy
339,350,SoilMoisture,°C,2020-12-16,Snowy
340,17,Humidity,%,2021-01-17,Rainy
341,77,CropHealth,°C,2022-10-14,Sunny
342,461,Temperature,pH,2022-04-23,Windy
343,250,CropHealth,°C,2022-01-24,Windy
344,387,SoilMoisture,%,2020-12-01,Snowy
345,414,CropHealth,pH,2020-10-20,Rainy
346,486,CropHealth,°C,2021-06-18,Windy
347,4,Temperature,pH,2021-12-10,Snowy
348,234,Temperature,%,2020-10-29,Windy
349,388,CropHealth,%,2022-05-05,Snowy
350,171,SoilMoisture,pH,2020-04-01,Windy
351,345,CropHealth,pH,2022-05-18,Snowy
352,195,Humidity,pH,2021-04-19,Cloudy
353,8,Temperature,%,2022-06-07,Sunny
354,42,Humidity,pH,2021-05-02,Rainy
355,43,CropHealth,pH,2020-07-28,Snowy
356,123,Temperature,°C,2020-03-13,Cloudy
357,78,Temperature,%,2020-01-12,Rainy
358,56,CropHealth,pH,2020-01-16,Rainy
359,158,Humidity,°C,2022-08-27,Windy
360,170,Humidity,%,2021-07-25,Windy
361,74,CropHealth,%,2022-04-26,Sunny
362,497,Temperature,pH,2021-04-06,Windy
363,489,Temperature,%,2020-04-12,Rainy
364,428,CropHealth,%,2020-04-19,Cloudy
365,210,Humidity,pH,2022-03-30,Sunny
366,5,Temperature,pH,2021-01-01,Rainy
367,220,SoilMoisture,°C,2021-07-04,Rainy
368,187,SoilMoisture,°C,2020-01-18,Cloudy
369,65,Humidity,%,2022-04-04,Sunny
370,477,Temperature,%,2022-04-04,Sunny
371,419,Humidity,°C,2022-08-15,Cloudy
372,431,CropHealth,°C,2022-10-21,Snowy
373,256,CropHealth,%,2020-07-19,Sunny
374,56,CropHealth,%,2022-06-26,Rainy
375,348,CropHealth,°C,2020-07-14,Snowy
376,303,Humidity,pH,2021-06-15,Snowy
377,135,SoilMoisture,°C,2022-07-24,Cloudy
378,341,Temperature,°C,2022-05-23,Cloudy
379,73,Humidity,%,2021-10-03,Windy
380,257,CropHealth,°C,2022-04-20,Cloudy
381,137,CropHealth,%,2022-03-04,Sunny
382,282,SoilMoisture,%,2021-06-24,Windy
383,422,SoilMoisture,pH,2020-03-28,Sunny
384,313,Temperature,°C,2022-01-10,Snowy
385,216,Humidity,%,2020-06-01,Windy
386,190,Humidity,°C,2020-08-15,Cloudy
387,403,SoilMoisture,pH,2020-06-12,Snowy
388,211,Humidity,pH,2020-11-01,Snowy
389,283,CropHealth,°C,2021-10-02,Snowy
390,375,CropHealth,pH,2021-11-12,Windy
391,336,CropHealth,pH,2022-09-09,Windy
392,131,SoilMoisture,pH,2022-08-11,Rainy
393,132,SoilMoisture,%,2020-03-08,Snowy
394,43,Humidity,°C,2021-04-21,Cloudy
395,316,Humidity,pH,2021-11-09,Windy
396,445,Humidity,°C,2020-11-05,Cloudy
397,190,SoilMoisture,pH,2021-01-12,Windy
398,451,Temperature,pH,2020-06-23,Windy
399,275,CropHealth,°C,2020-11-19,Sunny
400,377,SoilMoisture,%,2022-03-15,Cloudy
401,418,CropHealth,°C,2022-01-06,Cloudy
402,96,Humidity,pH,2021-01-29,Snowy
403,158,SoilMoisture,°C,2021-02-06,Snowy
404,9,Humidity,°C,2021-02-26,Rainy
405,205,Humidity,°C,2021-05-07,Rainy
406,284,Temperature,°C,2021-09-21,Snowy
407,108,SoilMoisture,pH,2020-12-23,Snowy
408,97,CropHealth,%,2021-06-18,Windy
409,167,Temperature,°C,2021-10-04,Sunny
410,22,Humidity,pH,2020-05-09,Cloudy
411,456,Temperature,°C,2021-02-19,Rainy
412,214,Temperature,%,2020-07-19,Snowy
413,361,SoilMoisture,°C,2021-10-18,Sunny
414,266,CropHealth,%,2022-02-24,Rainy
415,340,SoilMoisture,°C,2022-05-25,Snowy
416,262,Humidity,%,2020-06-25,Cloudy
417,94,Humidity,°C,2021-12-07,Rainy
418,185,CropHealth,°C,2022-07-09,Cloudy
419,121,CropHealth,%,2022-05-26,Cloudy
420,393,CropHealth,%,2022-06-19,Rainy
421,342,Temperature,°C,2020-07-16,Rainy
422,231,CropHealth,%,2022-07-18,Windy
423,128,SoilMoisture,°C,2022-07-24,Sunny
424,146,Temperature,%,2022-01-18,Sunny
425,96,CropHealth,pH,2022-11-17,Snowy
426,417,Temperature,%,2021-11-10,Windy
427,401,Humidity,°C,2021-08-28,Snowy
428,361,Temperature,°C,2020-01-02,Sunny
429,433,SoilMoisture,pH,2022-08-04,Rainy
430,410,Temperature,pH,2021-11-29,Sunny
431,344,Humidity,%,2021-12-01,Sunny
432,231,Humidity,°C,2022-12-20,Cloudy
433,401,SoilMoisture,pH,2022-10-14,Sunny
434,368,CropHealth,pH,2022-05-22,Windy
435,64,Humidity,pH,2020-09-19,Rainy
436,160,Humidity,°C,2021-12-18,Rainy
437,386,SoilMoisture,°C,2021-12-01,Cloudy
438,25,Temperature,pH,2021-09-19,Sunny
439,80,CropHealth,°C,2021-12-14,Cloudy
440,445,SoilMoisture,pH,2021-08-11,Rainy
441,381,CropHealth,°C,2022-05-03,Sunny
442,404,SoilMoisture,°C,2022-10-29,Rainy
443,113,CropHealth,pH,2021-03-03,Snowy
444,155,CropHealth,%,2021-10-02,Snowy
445,394,Humidity,%,2021-08-15,Windy
446,3,Temperature,pH,2021-10-14,Snowy
447,89,Humidity,pH,2021-06-24,Windy
448,283,Temperature,%,2022-06-10,Rainy
449,366,Temperature,pH,2020-03-21,Sunny
450,154,SoilMoisture,%,2022-01-01,Cloudy
451,117,Temperature,°C,2020-04-24,Snowy
452,31,Temperature,°C,2022-08-12,Sunny
453,269,Humidity,pH,2022-12-23,Rainy
454,3,Humidity,°C,2021-02-25,Rainy
455,160,SoilMoisture,°C,2020-04-19,Cloudy
456,363,SoilMoisture,%,2021-06-13,Sunny
457,69,Temperature,pH,2021-03-26,Windy
458,285,Temperature,pH,2020-09-24,Cloudy
459,223,Temperature,°C,2022-09-25,Cloudy
460,39,CropHealth,pH,2020-02-06,Cloudy
461,467,CropHealth,%,2022-04-14,Windy
462,59,Humidity,°C,2021-11-09,Snowy
463,344,Humidity,pH,2020-03-30,Windy
464,99,SoilMoisture,pH,2022-04-22,Windy
465,168,SoilMoisture,pH,2020-05-29,Cloudy
466,252,CropHealth,°C,2021-05-28,Rainy
467,474,Temperature,%,2021-11-23,Sunny
468,44,Temperature,%,2022-01-25,Windy
469,314,Humidity,pH,2020-05-03,Rainy
470,201,Humidity,%,2021-01-21,Snowy
471,109,Temperature,°C,2022-12-27,Sunny
472,161,CropHealth,°C,2021-10-19,Rainy
473,361,SoilMoisture,%,2020-05-30,Cloudy
474,339,CropHealth,°C,2022-06-06,Snowy
475,239,SoilMoisture,°C,2022-04-14,Cloudy
476,60,CropHealth,°C,2020-07-21,Rainy
477,411,SoilMoisture,pH,2021-03-17,Cloudy
478,272,SoilMoisture,pH,2020-07-25,Snowy
479,297,CropHealth,pH,2021-05-26,Windy
480,315,Temperature,°C,2020-12-29,Snowy
481,428,CropHealth,°C,2022-03-31,Snowy
482,33,Humidity,°C,2020-09-04,Windy
483,22,Humidity,%,2022-04-09,Windy
484,491,SoilMoisture,pH,2020-05-31,Rainy
485,441,Temperature,pH,2020-05-18,Snowy
486,73,Temperature,%,2021-09-27,Rainy
487,427,CropHealth,%,2021-03-26,Snowy
488,498,SoilMoisture,°C,2020-01-20,Windy
489,196,Temperature,%,2021-05-16,Cloudy
490,436,Temperature,°C,2021-03-21,Rainy
491,231,CropHealth,%,2021-06-15,Snowy
492,99,Temperature,pH,2020-05-23,Rainy
493,463,SoilMoisture,%,2020-05-23,Sunny
494,43,CropHealth,°C,2020-09-05,Windy
495,136,CropHealth,°C,2021-04-15,Cloudy
496,291,SoilMoisture,%,2022-12-02,Snowy
497,26,CropHealth,pH,2020-10-15,Sunny
498,39,SoilMoisture,°C,2021-08-14,Rainy
499,45,Humidity,°C,2020-10-19,Sunny
500,8,Humidity,pH,2022-04-15,Snowy
